Frequency;dB;
271000000;-0.66;
273195000;-0.67;
275390000;-0.67;
277585000;-0.67;
279780000;-0.68;
281975000;-0.69;
284170000;-0.68;
286365000;-0.69;
288560000;-0.70;
290755000;-0.70;
292950000;-0.72;
295145000;-0.72;
297340000;-0.72;
299535000;-0.74;
301730000;-0.73;
303925000;-0.74;
306120000;-0.76;
308315000;-0.75;
310510000;-0.77;
312705000;-0.78;
314900000;-0.78;
317095000;-0.79;
319290000;-0.80;
321485000;-0.83;
323680000;-0.82;
325875000;-0.85;
328070000;-0.85;
330265000;-0.88;
332460000;-0.88;
334655000;-0.88;
336850000;-0.91;
339045000;-0.92;
341240000;-0.94;
343435000;-0.97;
345630000;-0.97;
347825000;-1.00;
350020000;-1.04;
352215000;-1.06;
354410000;-1.10;
356605000;-1.12;
358800000;-1.16;
360995000;-1.20;
363190000;-1.22;
365385000;-1.24;
367580000;-1.27;
369775000;-1.28;
371970000;-1.31;
374165000;-1.32;
376360000;-1.35;
378555000;-1.39;
380750000;-1.44;
382945000;-1.50;
385140000;-1.55;
387335000;-1.63;
389530000;-1.72;
391725000;-1.85;
393920000;-2.00;
396115000;-2.19;
398310000;-2.41;
400505000;-2.65;
402700000;-2.95;
404895000;-3.32;
407090000;-3.68;
409285000;-3.98;
411480000;-4.09;
413675000;-4.03;
415870000;-3.87;
418065000;-3.66;
420260000;-3.49;
422455000;-3.38;
424650000;-3.29;
426845000;-3.28;
429040000;-3.26;
431235000;-3.29;
433430000;-3.30;
435625000;-3.34;
437820000;-3.44;
440015000;-3.58;
442210000;-3.72;
444405000;-3.86;
446600000;-3.92;
448795000;-4.00;
450990000;-4.14;
453185000;-4.31;
455380000;-4.50;
457575000;-4.74;
459770000;-4.99;
461965000;-5.24;
464160000;-5.51;
466355000;-5.80;
468550000;-6.06;
470745000;-6.15;
472940000;-6.09;
475135000;-5.97;
477330000;-5.81;
479525000;-5.76;
481720000;-5.90;
483915000;-6.20;
486110000;-6.63;
488305000;-7.34;
490500000;-8.27;
492695000;-9.29;
494890000;-10.47;
497085000;-12.00;
499280000;-13.62;
501475000;-15.46;
503670000;-17.08;
505865000;-18.82;
508060000;-20.79;
510255000;-22.63;
512450000;-24.35;
514645000;-24.83;
516840000;-22.69;
519035000;-19.52;
521230000;-16.75;
523425000;-14.41;
525620000;-12.69;
527815000;-11.20;
530010000;-9.95;
532205000;-8.94;
534400000;-8.05;
536595000;-7.21;
538790000;-6.54;
540985000;-5.96;
543180000;-5.47;
545375000;-5.04;
547570000;-4.63;
549765000;-4.30;
551960000;-4.02;
554155000;-3.77;
556350000;-3.56;
558545000;-3.39;
560740000;-3.19;
562935000;-3.02;
565130000;-2.90;
567325000;-2.81;
569520000;-2.68;
571715000;-2.57;
573910000;-2.51;
576105000;-2.45;
578300000;-2.43;
580495000;-2.33;
582690000;-2.31;
584885000;-2.24;
587080000;-2.20;
589275000;-2.19;
591470000;-2.18;
593665000;-2.14;
595860000;-2.13;
598055000;-2.12;
600250000;-2.11;
602445000;-2.11;
604640000;-2.10;
606835000;-2.10;
609030000;-2.13;
611225000;-2.11;
613420000;-2.11;
615615000;-2.10;
617810000;-2.10;
620005000;-2.10;
622200000;-2.10;
624395000;-2.10;
626590000;-2.12;
628785000;-2.13;
630980000;-2.14;
633175000;-2.15;
635370000;-2.18;
637565000;-2.19;
639760000;-2.23;
641955000;-2.25;
644150000;-2.27;
646345000;-2.29;
648540000;-2.30;
650735000;-2.32;
652930000;-2.32;
655125000;-2.32;
657320000;-2.31;
659515000;-2.33;
661710000;-2.33;
663905000;-2.33;
666100000;-2.34;
668295000;-2.33;
670490000;-2.35;
672685000;-2.36;
674880000;-2.37;
677075000;-2.38;
679270000;-2.39;
681465000;-2.42;
683660000;-2.44;
685855000;-2.43;
688050000;-2.47;
690245000;-2.47;
692440000;-2.50;
694635000;-2.54;
696830000;-2.57;
699025000;-2.59;
701220000;-2.63;
703415000;-2.67;
705610000;-2.72;
707805000;-2.78;
710000000;-2.84;
